,length,breadth,area,lbr,chalk,ecc,b,g,r,class
0,3.14137576,1.520562628,3.776007708,0.540679531,1.012542915,0.798675995,93.20736208,108.0769508,108.5693464,2
1,3.187480968,1.563995688,3.965085668,0.546161136,1.008426332,0.799791946,104.4960533,118.0632464,119.6896758,2
2,3.176857075,1.603873749,4.058534184,0.560201896,1.011396619,0.789171552,149.3036128,177.37822,187.2450854,2
3,3.235910029,1.687577189,4.323380367,0.572247749,1.005398719,0.784076112,142.2526338,151.1295022,153.5061345,2
4,2.86681517,1.630083073,3.665906708,0.616169064,0.998301071,0.747086311,140.3828227,148.6810203,150.3091084,2
5,3.645402254,1.715381289,4.932640454,0.521795194,0.99768521,0.81942352,127.512319,136.1385248,135.7830295,2
6,3.166005264,1.555523307,3.893006179,0.548335243,1.005418285,0.795160142,104.5361686,115.3066497,117.7342761,2
7,3.035853824,1.545935778,3.739305327,0.565483263,1.010287007,0.785072011,127.6135527,141.9746354,143.5367591,2
8,3.1086975,1.558290485,3.844756222,0.563941045,1.007981647,0.781070592,100.2264014,114.1833845,115.6359615,2
9,2.957427457,1.485028002,3.49873711,0.557536418,1.011144777,0.795366121,115.8543015,126.5446197,131.5666875,2
10,3.005749513,1.458742109,3.482369987,0.541166302,1.010215893,0.806895976,119.5414644,130.743365,134.8849076,2
11,3.132964434,1.483003549,3.706157299,0.5307571,1.01194182,0.813157234,114.2382187,126.2976992,131.3232688,2
12,3.30373483,1.55622219,4.098952247,0.527518656,1.010899557,0.80949547,122.0762048,134.915494,138.7587975,2
13,3.005307942,1.478128445,3.53287313,0.551466873,1.00890297,0.791094279,117.7580531,129.2110638,132.3401311,2
14,3.063934204,1.498469522,3.656804754,0.54814207,1.012271652,0.796748271,115.7440623,129.7566986,132.3127122,2
15,3.271578278,1.532558041,3.991966149,0.527409131,1.010369231,0.810015848,119.8637334,134.4469181,138.4848313,2
16,3.418462798,1.568212899,4.265242467,0.514753972,1.006545229,0.823909512,118.4666823,135.808532,138.0600608,2
17,3.35736491,1.544004898,4.126836849,0.517855171,1.007543587,0.819708529,102.0064789,116.4104328,118.8141111,2
18,3.105372254,1.494514029,3.70116404,0.541489722,1.011412953,0.800253258,112.2256256,128.7048846,130.6075813,2
19,3.341383703,1.621590367,4.303770116,0.542392511,1.004433095,0.805177575,117.6364707,126.6583552,129.6981807,2
